Text,Category 
"वीस वर्षांपूर्वी माझ्या मुलीनं ती लेस्बियन आहे, असं मला सांगितल्यावर मला काय वाटलं होतं, ते पुन्हा एकवार आठवलं.

त्या काळी समलैंगिकतेबद्दल मला फारशी माहिती नव्हती (आता साठीत असलेल्या माझ्या पिढीला स्त्री-पुरुष संबंधांबद्दलसुद्धा उघड बोलायला संकोच वाटे, तिथे समलैंगिकतेचं काय घ्या?). ही गोष्ट कधीच स्वप्नातदेखील न आल्यामुळे, मुलीनं तसं म्हटल्यावर मी चकित होणं साहजिक होतं, पण मी अजिबात हादरून वगैरे गेले नाही. वर उल्लेख केलेल्या बिशपप्रमाणेच मला वाटलं, की जर माझी मुलगी लेस्बियन असेल, तर ती गोष्ट वाईट असणं शक्यच नाही. लेक म्हणाली, ''तू काळजी करू नकोस. लैंगिकता ही गोष्ट सोडून बाकी सर्व बाबतींत मी अगदी तीच आहे... माझ्या जन्मापासून आत्ता, काही क्षणांपर्यंत मी जी होते, जिला तू जाणत होतीस तीच... तुझी शाल्मली"". वास्तविक तिनं हे बोलून दाखवायची गरज नव्हती. तिच्या वागण्याबोलण्यात कुठलाच फरक नाही, हे मला स्पष्ट दिसत होतं. मी केवळ हलकंसं स्मित करून होकारार्थी मान हलवली. शाल्मली बरीच रिलॅक्स झाली.

''अम्मा, समलिंगी असणं हा आजार नाही, बरं का! हे व्यंग किंवा विकृतीदेखील नाही"", लेक समजावत होती. ""समलैंगिकतेला अनैसर्गिक मानणं तर साफ चुकीचं आहे. तू लहान असताना डाव्या हाताचा वापर वाईट मानला जाई, नाही का? बिचार्‍या डावर्‍या मुलींना पूर्वी फटके मारून उजव्या हातानं लिहा-जेवायला भाग पाडत, हे तूच मला सांगितलं होतंस, पण आज डाव्या हाताला मान्यता मिळाली आहे. त्याचा वापर अनैसर्गिक, असं कुणी म्हणत नाही. अशा लोकांचं प्रमाण कमी असतं. समाजातल्या बहुतेक लोकांहून ते वेगळे असतात, पण त्यांच्या कृती नैसर्गिकच मानल्या जातात. समलिंगी असणं हे एका परीनं डावरं असण्यासारखंच आहे.''

''समाजात बहुतांश लोकांची लैंगिकता स्त्री-पुरुष संबंधाशी निगडित असते. त्यांच्या तुलनेत समलिंगी लोकांची संख्या कमी; पण ते बहुतेकांपेक्षा वेगळे आहेत म्हणून समाजानं त्यांच्यावर अनैसर्गिक असा शिक्का मारणं योग्य आहे का? खरंतर लैंगिकता केवळ बायोलॉजिकल फॅक्ट आहे. डोळ्यांच्या रंगांप्रमाणे. सर्व माणसांचे डोळे जसे एकाच प्रकारचे असत नाहीत - काळे, निळे, राखाडी असे वेगवेगळ्या रंगांचे असतात, त्याचप्रमाणे लैंगिकतादेखील केवळ एकाच प्रकारची - स्त्री-पुरुषसंबंधी नसते. समलैंगिकता हे ऐतिहासिक वास्तव तर आहेच. त्याशिवाय आता समाजशास्त्रीय, मानसशास्त्रीय, तसंच जीवशास्त्रीय संशोधनांतून या विषयावर अधिकाधिक प्रकाश पडत चाललाय आणि अशा सगळ्या अभ्यासांतून जो निष्कर्ष निर्विवादपणे निघालाय, तो हाच, की गे किंवा लेस्बियन (होमोसेक्शुअल) असणं हे स्ट्रेट (हेटेरोसेक्शुअल) असण्याइतकंच नैसर्गिक आहे.''",None of the categories
Changal Kam bhau,None of the categories
"Ameya गप्प राहा तू 
वाईट लोकांसारखं काहीपण नको बडबडू 
तूला काहीही अधीकार नाही तसं ........बोलण्याचा",None of the categories
377 cha prabhav,None of the categories
मादर्चौद कुठले ?😡😡😡😡,None of the categories
खूप छान माहिती सांगीतली. माझ्या सासऱ्यानी पण हैदराबादला वेनस इंक चालू केली.माझ्या यजमानांनी फ्लेक्सो ग्राफिक इन्क देवलोप केली 60वर्ष हा धंदा चालू होता 2008 मध्ये बंद केला.,None of the categories
"He baga dada tu sangitla khup chan ahe ,pan aamcha group vegla kela kuni tumhi lokani ,aamhla samajapasun dur kel kuni ,tumhi lokani ,are dada amhla pan man ahe ,aamhla pan fillings ahet ,asa nahi amhi trutiyapanthi ahe mhanun amhi mansa nahi,tumhi lok amhla kadhi samjun ghenar yaar,plz plz plz 🥺aamhla pan hya samajat jagu dya normal lokasarkha ,ami Kay swatahun asa nahi zalo ,devakadun amhi asa aaloy hyat amchi Kay chuki ,dev na karo pan yadakadachit tumchya gharat koni trutiyapanti janmla tar tumhi tyacha pan vegla group karsal ka 😔",None of the categories
"१ dam barobar aahe Nikita tai 
I m proud of u",None of the categories
 @tejasmanjrekar8717  ekdam barobr bollas…,None of the categories
"ही ABP माझा ची अँकर आणि यांची मुलाखत घेणारी थर्ड क्लास न्युज पत्रकार यांचा दोघांचा समलैंगिक विवाह करा.... ABP माझा वर दाखवा लाईव्ह....
साले ह्या न्युज चॅनल विरोधात कोणी हायकोर्टात किंवा सुप्रीम कोर्टात जनहित याचिका दाखल करा रे....
आणि ती घोडी, सुरुवातीला शेर म्हणणारी, तिला पण एक मुलगीच बघ म्हणावं लग्नाला, तुमचं आमचं सेम असत म्हणे, नालायक साले..
कोर्ट म्हणजे देव आहे काय,",Homophobia
Tuzhi wali bhao khat ahe he 💯 tu pn asech karnar ka,None of the categories
Kiti chhan bolte g Tai....you deserve better one,None of the categories
"आता हेच #बघायच राहील होत,,,,,",None of the categories
" @ninad582 barobar ahe gadhavala dnyan denara manus toch khara gadhav asto.. Amhich gadhav 😂😂😂😂😂.apalyala Kay dya vishay sodun.. 
Tumcha vishaycha Hard :- lokani Kiti pn sangu dya aasa kar tasa kar  pn apun yedya gatach karayacha 😂😂😂😘..",None of the categories
Mala pan ak hasband haway...am gay,None of the categories
" @ketki chavan सगळ्यात महत्वाचे ते असे कि @केतकी चव्हाण जर का तुमच्या घरात कोणी अशी विकृत व्यक्ती असेल / किंवा तुम्ही स्वतः जर का या पद्धतीने विकृत असाल तर खुशाल  तुम्ही त्याचे समर्थन करा कारण अशा विकृत व्यक्तीला माझ्या लेखी किंमत शून्य आहे, बाकी कोण कसे विचार करतात याचा माझ्याशी काहीही संबंध नाही आणि हा माझ्या वैयक्तिक प्रश्न आहे, आणि माझ्या घरात काय जन्माला यावे आणि काय नाही किंवा पुढचा माझा जन्म काय मिळावा याचा सद्विचार आपण न केलेलाच बरा, एकंदरीत तुमची विचारसरणी अशीच लक्षात येते. आणि तशी या दोघांच्या आई वडिलांचा संदर्भ कोठेही नाही किंवा नावही नाही कारण घरच्याना हे लज्जास्पद आहे कारणास्तव या दोघांनाही त्यांच्या घरात स्थान शून्य याचा अर्थ हाच कि दोघांनाही वाटेला लावलेला आहे कारण हे विकृत आहे, अंतः मीही हाच विचार केला असता. आणि राहता राहिला त्यांची हिणवणी करणं , तर जे प्रवाहाच्या विरुद्ध जातात त्यांची अवहेलना होतेच, तसाही हे निसर्ग नियमाच्या विरुद्धच आहे. आणि भागवत गीता मी तरी वाचली नाही अजून तुम्ही जाणता हे अभिमानास्पद आहे, जनजागृती करा तुम्ही पण विकृतपणाला खत पाणी तरी घालू नका, संस्कृती विसरू नका. आणि देवाने निर्माण केलंय तसं जगणं भाग आहे मान्य पण जे खरंच समाजाविरुद्ध आहे इतरांच्या आणि संस्कृती विरुद्ध आहे ते करा कशाला, त्याला विरोध होणारच. आणि जसा तुम्ही माझ्या बद्दल वाईट विचार केला त्यावरून तरी वाटत नाही कि तुम्ही भागवत गीता खरंच जाणता. असो जे नाही पटलं ते मी मांडलं, तुम्ही हस्तक्षेप करून माझे विचार आणि मत बदलू शकत नाही. देव करो आणि तुमच्या आयुष्यात अशी कोणी व्यक्ती येऊ नये , कारण अशा विकृतीला तुम्ही खुलेआम आणिकही दुजोरा द्याल.

",None of the categories
"कलियुग आल हो कलियुग आलं।।।
विश्वास ठेवा अगर ठेऊ नका
5हजार वर्षानपूर्वी श्रीमद्भागवतात जे सांगितलेय ती एकेक गोष्ट बीज धरु लागलिय।।।",Homophobia
माफ करा सर पण मला असे वाटते हा चुकीचा विचार आहे कुठल्याही माणसाना असे वागवू नये मग कोर्टाने दिलेला निर्णय समाज मान्य करणारच नाही . सगळ्यांना समान अधिकार असला पाहिजे . समलिंगी स्त्रिया स्वतः मुलांना जन्म देतात. त्यांच्या मुलांना कोण ठेवणार ? सरकार ह्या मुलांना वेगळे वसतिगृह करणार ?म्हणजे नवा खर्च नवे प्रश्न .मुलांना पालक असताना आईचा हक्क हिरावून घेणे हे मानवता अधिकारा विरुध्द आहे म्हणजे बदल घडणारच नाही अटीवर कुठलाही मानवीय हक्क देणे चूक आहे . त्या उलट शाळेत अवेअरनेस राबवला पाहिजे समलिंग आई किंवा वडील असलेल्या मुलांना चिडवानार नाही ह्यासाठी कडक नियम लावले पाहिजे . समान कायदा आणि अधिकार सर्वांनाच मिळाला पाहिजे . स्त्रियांना तर घटनेने अधिकार देऊनही समाज मान्यता तशी मिळालीच नाही. आमच्या पवित्र्याच्या बुरसटल्या कल्पना तश्याच आहेत. नुसता समलिंगींना लग्न करण्याचा हक्क मिळाला तरी परिवाराचे सुख मिअलाणार नाही .त्यासाठी नवा लढा नवे शतक उगवेल. आपल्या देशात लोकांना सवय कधी होईल सर्वाना स्वीकारायची . मानवीय अधिकारसुद्धा मिळत नाही माणसाना चूक आहे .,Homophobia
ह्यंच्यापैकी वटी कुनाची भरायची कुकु लाऊन... 😂😂😂😂😂,None of the categories
"अशे फालतूचे निर्णय घायला वेळ आहे सुप्रीम कोर्टाकडे पण बलात्कार, मर्डर ह्यासारखे केस वर्षानूवर्षे रखडट ठेवतो. कधीतरी गरिबांसाठी पण लवकर निर्णय घेत जा म्हणाव…",Homophobia
Khup c chan nirnay  sukhi raha,None of the categories
खूप छान..👌👌👌👌,None of the categories
"Khup chan nikita

",None of the categories
Grt work dadya... Kharach ya video mul ya community kade samajacha bghanyacha drushtikon nakkich badlel…,None of the categories
"टेस्ट बदलली रे लोकांची
हे तेच लोक आहे ज्यांना कोणी भाव नाही देत माणूस माणूस मग बाईच महत्व काय?",Transphobia
"फॉरेन चे अनुकरण आहे हे,
जे करायचे ते जमत नाही त्यांच्याकडून संस्कृती कशी जपायला पाहिजे ते नाही शिकत आपण",Homophobia
Ugach nahi kahi पुरोगामी महाराष्ट्र 👍😇,None of the categories
सर  खूपच छान विचार मांडले तुम्ही 👌👌👍👍👏👏👏,None of the categories
मिलिंद खोत. हा हा हा हा,None of the categories
Hijdya bara fuketch lagna krtaait,Transphobia
"खुप दुःखद प्रवास आहे यांचा

",None of the categories
निसर्ग चक्र बिघडवू नका रे बाबा.,Transphobia
Porich bhetan nai to tari kay karin,Transphobia
 @saksh-qc2jk  Ajmal Kasab la kuni banavala hota...kahipan logic nako lavat jau...devani banavala mhanun kahi chutyapanti karnar ka???,Transphobia
"समाज फक्त नाव ठेवण्यासाठी असतो 
अभिनंदन 💐",None of the categories
Shreyas बेटा बाईला जवण्याची मजा तूला काय माहीत रे वेड्या,None of the categories
मागील आयुष्याच्या हार्दिक शुभेछा,None of the categories
अभीनंदन दोघांच बाळु सपना  खुश रहो मसत जीओ,None of the categories
Tumche naav ghenyapeksha mala tumhala.aai bolne far aavdel,None of the categories
आईसाहेब  क्या बात  है  मस्त  उत्तर  दिले  खूप  छान  आईसाहेब. फार  छान  बोलतात  तूम्ही,None of the categories
He legal ahe kay india madhe,None of the categories
He kahitari vegl hot..,None of the categories
परिस्थिती खूपच कठिण आहे ..,Transphobia
Wow Gauri tai! Kiti chhan bolata tumhi.,None of the categories
खर आहे महाराष्ट्र पुरोगामी आहे ते याच विचारामुळे,None of the categories
  @prathameshshudhiraodaithan1991  tujha kela kaapla paahije,None of the categories
शिवलक्षमी  तू अजून डान्सर म्हणून शिकावण्याबघेट्स का ?,None of the categories
वो बाई (प्रेम म्हणजे प्रेम असत )काय बोलतिय काय..तुमच असेल सेम आमच नाही तुमच्या सारख.,None of the categories
Balu ani sapnache ata binkamache don chote galu,Transphobia
Rupali Kamble Mam pls Dr. Baba saheb ambedkar jee... Ne savindhan banaya desh ka... Aise mahan insaan Ka naam.. Aise faaltoo k Topic mai mat daily... Aap shirf apni raay bataaiy.. Dr. Baba shaheb ambedkar desh k Gaurav hai.. Plsss,None of the categories
Aniket Kapse bhava lay bhari joke marla,None of the categories
He je congratulations mantayt te ch lok samor alay vr nav thevtat ani du donti lok astat,None of the categories
"007, अशा बाबतीत समर्थन करण्यापेक्षा अशा गोष्टी या देशातून हाकलून देणं याकडे लक्ष द्या जरा",Homophobia
दृष्टी बदला दृष्टिकोन बदलेल 😊,None of the categories
एक नंबर दिशा ताई,None of the categories
khup dhadas lagtey mitra hey karayala.....hatss offf,None of the categories
"  @LilCaptainCupcake  हे बघ मित्रा किन्नर समाजाचा आदर मी पण करतो. ते आपल्या संस्कृतीचा एक भाग आहेत. आज पर्यंत मला त्याचा काही त्रास झाला नाही but I am curious to know if LGBT people will have any negative impact on our society, especially on our younger generation and kids. I've been seeing a LOTS of negative stuff from the LGBT community in western countries. Drag shows, normalising it in school education. declaring a body's gender right after its birth. Trans people are using women's private places, which makes them feel uncomfortable, participate in women's sports, and take advantage of masculine features. Snatching women's rights and taking advantage of it.  I'm just curious to know if it will be normalised in India too.??? As a citizen of India, I have the right to ask. हा एक गंभीर विषय आहे.",Transphobia
हे लोक खूप हुशार आहेत आणि दिसायला किती सुंदर असतात,None of the categories
Jithe aanand ahe...tithe sarvkahi maf ahe.... happy married life,None of the categories
तुमचा आशीर्वाद माझ्या पाठीशी राहू द्या,None of the categories
"खूपच अभिनंदन दोघांचे,समजा विरूद्ध जावून समाजाला नविन विचार करायला भाग पाडले,शेवट समाज म्हणजे कोण ओ,चार चांगली व चार वाईट माणंसं त्यांना किती किंमत द्यायची हे आपणच ठरवायचं असतं, शेवटी काही अडचणी आल्यातर समाज नाही येणार पुढं ,तो फक्त मजा बघत बसायला असतो,आमचा पुर्ण साथ राहणार तूम्हाला 💐💐💐👍👍भावी आयुष्य सुखाने जगा😚",None of the categories
"प्रेम म्हणजे प्रेम म्हणजे प्रेम असतं,
तुमचं आणि आमचं अगदी ‘सेम’ असतं !
काय म्हणता ?
या ओळी चिल्लर वटतात?
काव्याच्या दृष्टीने थिल्लर वाटतात ?
असल्या तर असू दे,
फसल्या तर फसू दे !
तरीसुद्धा
तरीसुद्धा,
प्रेम म्हणजे प्रेम म्हणजे प्रेम असतं,
तुमचं आणि आमचं अगदी ‘सेम’ असतं !
मराठीतून इश्श म्हणून
प्रेम करता येतं;
उर्दुमधे इश्क म्हणून
प्रेम करता येत;
व्याकरणात चुकलात तरी
प्रेम करता येतं;
कोन्वेंटमधे शिकलात तरी
प्रेम करता येतं !
सोळा वर्ष सरली की
अंगात फुलं फुलू लागतात,
जागेपणी स्वप्नांचे
झोपाळे झुलू लगतात !
आठवतं ना ?
तुमची आमची सोळा जेव्हा,
सरली होती,
होडी सगळी पाण्याने भरली होती !
लाटांवर बेभान होऊन
नाचलो होतो,
होडी सकट बूडता बूडता
वाचलो होतो !
बुडलो असतो तरीसुद्धा चाललं असतं;
प्रेमानेच अलगद वर काढलं असतं !
तुम्हाला ते कळलं होतं,
मलासुद्धा कळलं होतं !
कारण
प्रेम म्हणजे प्रेम म्हणजे प्रेम असतं,
तुमचं आणि आमचं अगदी ‘सेम’ असतं !
प्रेमबीम झूट असतं
म्हणणारी माणसं भेटतात,
प्रेम म्हणजे स्तोम नुसतं
मानणारी माणसं भेटतात !
असाच एक जण चक्क मला म्हणाला,
“आम्ही कधी बायकोला
फिरायला नेलं नाही;
पाच मुलं झाली तरी
प्रेमबीम कधीसुद्धा केलं नाही !
आमचं काही नडलं का?
प्रेमाशिवाय अडलं का?”
त्याला वाटलं मला पटलं !
तेव्हा मी इतकंच म्हटलं,
“प्रेम म्हणजे प्रेम म्हणजे प्रेम असतं
तुमचं आणि आमचं मात्र सेम नसतं !”
तिच्यासोबत पावसात
कधी भिजला असाल जोडीने,
एक चॉकलेट अर्धं अर्धं
खाल्लं असेल गोडीने !
भर दुपारी उन्हात कधी
तिच्यासोबत तासन् तास फिरला असाल,
झंकारलेल्या सर्वस्वाने
तिच्या कुशीत शिरला असाल !
प्रेम कधी रुसणं असतं,
डोळ्यांनीच हसणं असतं,
प्रेम कधी भांडतंसुद्धा !
दोन ओळींची चिठीसुद्धा प्रेम असतं,
घट्ट घट्ट मिठीसुद्धा प्रेम असतं !
प्रेम म्हणजे प्रेम म्हणजे प्रेम असतं
तुमचं आणि आमचं अगदी सेम असतं !
कवी - मंगेश पाडगावकर",None of the categories
yes nikhil u r rgt..aaj toh unki pol kholdi tumne..sachin kay re tu sangitla nahi amhala tujha honeymoon jhala mhanun rohit barobar..ne gud news sachin abt u?👶🏿,None of the categories
"नको अक्कल पाजलू ,",None of the categories
Nalyayk बाळू केळ्या,Transphobia
Pedophilia म्हणजे काय?,None of the categories
समलैंगिक असण्यापेक्षा समान माणुसकीची वागणूक असणं गरजेचं आहे,None of the categories
मग नेमकं याला मागून मारल असेल की पुढून 😂😂,Homophobia
"भावड्या खूप आवडलं,
आणि या माणसांबद्दल खूप आदर वाढला.",None of the categories
Tumhi sagle kiti chan ahat ❤ ani kiti chan bolta 😘.... Tumchya bolnya tun tumche praglabh vichar disun yetat 👍👍,None of the categories
Hech rahil hoat,None of the categories
"Please ya lokan-na Chakka bolu Naka..... tyanche pan kahe Tarr  identity aahe ..... please give respect 🙏 to them . without good quality education balu is thinking like education in case of respect and love relationship ❤

",None of the categories
Samajat vegli parampara ka nirman karata ekate rahile tari jagu shakata,None of the categories
Hi kay hijade giri ahe tyapesha tumi suside ka nahi kela kiti maja aali asti tumi loka martana pahun😂,Transphobia
"Aaj Marathi kidyani khar dhakhavlay 
LGBTQIA+ 
Lokhani aapla vichar badla desh badlel",None of the categories
मी या किन्नरला बीड मध्ये बरेच वेळा बघितले आहे,None of the categories
तुमचा मुलगा गे आहेच की 😂😂😂 नविन काय तरी सांगा,Homophobia
Kay kartil पोरी देईना कोणी😂😂😂😂,Transphobia
आहेच तो त्यात लाजायच कशाला,None of the categories
वा गाैरी ताई अभिमान आहे तु महाराष्ट्रात जन्माला आलीस,None of the categories
"Khup chhan bolalat aai saheb
मस्त वाटलं ",None of the categories
"Didi tumhi khup chan ahat....😘😘😘

",None of the categories
Polio zhalelya balachi Kahi chuki aste ka?nahi....tasech ahe he,None of the categories
समाज विचार परिवर्तनाची गरज आहे आज,None of the categories
भोग भोगण्यापेक्षा योग साधना करून उभय तांनी जीवन साकार करावे ..... परमात्मा की आराधना करे👍👍👍👍❤️ जो भी मिला.हैं. ऊस मे आनंद का प्राप्त करे 👍👍👍👍,None of the categories
Ky krnar pori milenat,Transphobia
भारत चीनची गांड मारनार😊😁😂,None of the categories
खर तर आपल्या लिंग पुजक... परंपरेत यांना मानाचे स्थान होतेच....,None of the categories
"मग तो 100% गे च आहे
",Homophobia
"Khup chan🎉❤ ajun video share kara

",None of the categories
छान मुलाकात होती,None of the categories
सातार्यातुन कोणी असेल तर नंबर द्या,None of the categories
Me pn gay hy 7718818563 Mumbai,None of the categories
Chala houn jau dya dandiya utsav,Transphobia
chakka asel,Transphobia
ते न्हव यातला कोण उड़नार  आणि कोण खाली पडणार। 😂,None of the categories
शिवलक्ष्मी खरंच आदर्श विचार आहेत तुमचे.. कधीच हरणार नाहीत तुम्ही👍👌,None of the categories
Khup Bhari aahe hi filling samanta palaychi,None of the categories
खुपच सुंदर विचार वाटले,None of the categories
"प्यार जो किया तो निभाना पड़ेगा ।
God bless you ❤️",None of the categories
"तो आहेच गे , हे सर्वांनी पाहिले आहे, परंतु तरी पण त्याला मावळ्याची भुमिका देण्यात आली,",Homophobia
क़ाय तरि ति बाई रडली हो मुलाखत देताना,None of the categories
"Ok Thikeee..mi tumchi help nakki Karel...tumhala kay madat havi aahe ya babtit

",None of the categories
बाळु थोबाडावरूनच येडझव वाटतंय.,Transphobia
"Shiiii😧😧😧😧😧😧kay he

",Homophobia
"अरे बंद करा रे

",Transphobia
Tarq Baba yadzavya tuzya purjanni chuka kelya tr tu pn chuka karnar ka? Itihasat baryach changlya goshti aahet tyatil fakt hi Gaygiri disli ka tula..,Homophobia
"आसं प्रेम. यकच नबर🙏🙏

",None of the categories
खरच खुप सुशिक्षित इंटरव्यू वाटला आपण च सगळ्यांना  बघण्याचा दृष्टिकोण बदलायला हवा. त्याना पन नॉर्मल आयुष्य जगयला हवे..आणी यांचा संवाद पन खुप छान आणि knowledgeable  आहे..,None of the categories
I ghal tuzi,None of the categories
शिवलक्ष्मी यांनी खूपच सुंदर उत्तर दिले...proud of you,None of the categories
त्या लॉजिक ने तर मग मुली पण बिगर लग्नाच्या राहतील... त्यांनीं पण मग मुलीसोबत लग्न करायचं का ?? काही पण ह्या पोराला सपना चा चटका लागला असेल.. असही लग्न होत नसेल,Transphobia
"कसला चुत्यापा आहे राव ...... काहीही चाललंय …... आणि हे पुणे मध्ये राहतात…..... भडव्यानो तुम्ही तिकडे अमेरिकेत च रहा, इथे भारतात येऊन कशाला नासवताय इथली संस्कृती कुणास ठाऊक",Homophobia
"Balu..aata.tu.balu.rahila.nahi
Sansarala.lagala.kahi.kam.dhanda
Kar..paise.kamav.bayakovhya.kamaivar.jagu.nako.",None of the categories
Foundation kevdha laavlay face la sunbaai ne 😂,None of the categories
लय भारी  ताई.,None of the categories
सांगायचं काय त्यात ?🤣,None of the categories
"काही किन्नर मुळे सर्व किन्नर चे नाव बदनाम होतं..
जसे की.. नशा, स्मोकिंग, अशे अनेक घातक हे 
जेणेकरून ते बंद करायला पाहिजे",None of the categories
Tumhala Samman milayla pahije...raja maharjani dila hota. Company chya form madhe tar asta gender...pan kharya arthane tumhala maan milayla hava,None of the categories
"त्यांचा आदर आहे हो ताई, पण त्यांच्या लग्ना ला समाजाची कधी न्हवती नाही नसणार",None of the categories
Kuku doghana janam deon meli.. Ata next season yanchavarach aahe.,None of the categories
Kya in logu ki shadi ke bare main kisi ke dharam main nahin likh hain.,None of the categories
Kuthe tari ya lokana adhar bhetnyasathi survat zalli,None of the categories
आत्ता मुलाला ट्रेनिंग साठी करण जोहर कडे पाठव 😂,None of the categories
" @madhushriparab1409  हो पण लोकांची का वाट लावता, असे फालतू आदर्श का ठेवता, पुढच्या पिढीला",None of the categories
बुल्ल्यात बुल्ला घुसवत बसा 😢😂😂😂,Homophobia
"तुमची जोडी खूप अनंदी रहावे ही इश्वर चरणी प्रार्थना

",None of the categories
"सुप्रीम कोर्ट एलजीबीटी कम्युनिटी साठी जर न्याय देऊ शकत, तर कश्मीर मध्ये आर्टिकल 35 a वर न्याय द्यायला एवढा वेळ का लावत आहे.
बीबीसील हा प्रश्न कधीच पडला नाही का",None of the categories
"Marathi maansa saarkha imdaar Manus koone naahe...I proud to be Marathi......👍👍👍👍🚩🚩🚩🚩
Haa problem Pan fakta Marathi maanus hee so davnaavr ...👍👍",None of the categories
Yana dokay var chadun thevnari lo tayncha sarkhi murkha aahe,None of the categories
बावळट लोक बावळट पणाच करणार,None of the categories
"म्हणे देश उच्च पातळी वर जाईल असे सूरूवातीला ताे म्हणाला
",None of the categories
Asha changlya manache himmatvaan lok ishwar rupi jagaat yeun etihas ghadvtat…,None of the categories
"Khup mast explain kelas siddh
Kharch tu sopi gosht hya navala sajesa sadarikaran kartos nehmi
👍👍👍",None of the categories
APB माझा चे पत्रकारांना पण  यांचा आदर्श घ्यावा पाहिजे.,None of the categories
म्हणजे याचा मुलगा नक्की नागपूर पॅटर्न आहे,Homophobia
"विझलो जरी आज मी हा माझा अंत नाही
पेटेन पुन्हा नव्याने हे सामर्थ्य नाशवंत नाही❣️",None of the categories
Gaand maarun marun ata gaanditlyan shena sarke motey thaape baaher nigat asel 😂😂😂😂😂,Homophobia
"खूपच छान शिवल क्ष्मी आई साहेब..
खूपच धाडसी आहात आपण .. जिद्द चिकाटी हीच परीक्षा असते.👍👌👌
आपली अशी सदैव सात जन्मी जोडी  नांदो हीच श्री चरणी प्रार्थना🙏🙏🙏🚩",None of the categories
"""अल्लाह तुमच्या दोघांना सुरक्षित ठेवो.""",None of the categories
Khup talented ahet. Shivlakshmi tai,None of the categories
"saal yaatal kon kunachi gaand martay  😆chutiya saaale devane evdhi sundar rachna keli male femalechi ya chutiya ni aapli aai ghatli

",Homophobia
"श्री,बाळू ला लॉटरी लागली.",None of the categories
काय बोलावं ते च कळत नाही,None of the categories
गिरणी हाना रे याची समलिंगी वाले कोणी तरी,None of the categories
"लय भारी बाळु भाऊ ,,👌",None of the categories
Khup Chan vishay nivdla ahe.,None of the categories
Mi hya gender cha khup respect krt hote pn 2021 madhe mala mazya 9 mahinyacha mulila  Ani mazya 5 varshychya mulala tyani khup tras dila😭😭 (3 Jan hote te) ata mla khup bhiti vatate kutahi disle tri Ani maza mulga pn khup ghabrto 🥺🥺,None of the categories
खरच  समाजसाठी  खूप  छान  संदेश  आहे  हा,None of the categories
"Tuza mulga gay ahe he saglyana tyachya acting varun disal ahe tyamule saral sang
Ani tyachya samlingi panavar movie series kad challa tr challa",Homophobia
व्वा !भावा खुप चांगले काम केलेस.ह्यांच्या समस्या देखिल लोकांना कळणे गरजेचे आहे.त्या तुझ्या माध्यमातुन तु लोकांसमोर आणल्यास.यु आर ग्रेट,None of the categories
"Vishal sir Ani madam tumhi 
Help sathi contact number share karayla pahije hote",None of the categories
Khup Chan mahiti dili dhanyawad 🙏,None of the categories
  @shrirangkate5951  tu pan mulasobat karnar ahe ka lagn mi karnar ahe ata age 18ahe,None of the categories
